nct_id,brief_title,kmeans_cluster
NCT06453941,Yizhi Baduanjin for Patients With Cognitive Impairment,5
NCT04488419,ATH-1017 for Treatment of Mild to Moderate Alzheimer's Disease,1
NCT07105501,Atrial Amyloid May Influence Outcomes in Patients Undergoing Surgical Aortic Valve Replacement,2
NCT03448601,Alzheimer's Disease and Precision Medicine Research Among Native People,2
NCT01815112,Early Diagnosis of Alzheimer-like Dementia: Benefit of MRI and PET Imaging,0
NCT02964611,Social Cognition and Personality Changes in Alzheimer's & Parkinson's Disease & Frontotemporal Lobar Degeneration,2
NCT06029894,Improving Sleep and AD Biomarkers,5
NCT00860275,Drug-Drug Interaction (DDI) w/Ketoconazole or Fluconazole,4
NCT07169630,PET Imaging of Phosphodiesterase-4 (PDE4) in Volunteers With Alzheimer Disease (AD) or Mild Cognitive Impairment (MCI),0
NCT05669495,ANNE Vital Sign System Remote Sleep Assessment,2
NCT01529619,"Efficacy, Safety and Tolerability of Rivastigmine Patch in Patients With Mild to Moderate Alzheimer's Disease Switched From Cholinesterase Inhibitors",1
NCT04296565,Water-based Activity to Enhance Recall in Veterans,5
NCT03001557,Study of Lemborexant for Irregular Sleep-Wake Rhythm Disorder and Mild to Moderate Alzheimer's Disease Dementia,1
NCT00950430,Imaging of Brain Amyloid Plaques in the Aging Population,0
NCT03387267,Videofluoroscopic Swallowing Study (VFSS),2
NCT02503501,Intranasal Glulisine in Amnestic Mild Cognitive Impairment and Probable Mild Alzheimer's Disease,5
NCT03287765,Evaluating the Relationship Between Tau PET Imaging and CSF Biomarkers of AD (Alzheimer Disease) in Humans,0
NCT02288000,Prediction of Cognitive Properties of Memantine for Neurodegenerative Diseases,2
NCT06459128,Delivery Format of Cognitive Behavioral Therapy Materials on Engagement and Outcomes: AI-Enabled App vs PDF Workbook,3
NCT03075007,Brain Vascular Disease in Aging and Dementia,0
NCT01767311,"A Study to Evaluate Safety, Tolerability, and Efficacy of Lecanemab in Subjects With Early Alzheimer's Disease",1
NCT07402356,VR Pupillometry in Cognitive Impairment,5
NCT02097056,Safety and Efficacy of Donepezil HCl 23 mg in Patients With Moderate to Severe Alzheimer's Disease,1
NCT01057030,Multiple Dose Japanese Bridging Study,4
NCT05564169,Masitinib in Patients With Mild Alzheimer's Disease,1
NCT00151502,To Evaluate the Safety and Effectiveness of Atorvastatin Plus a Cholinesterase Inhibitor in AD Patients.,1
NCT04785053,Memory Functions in Mild Alzheimer's Disease,2
NCT05732519,Turkish Speech Analysis Development Study,2
NCT01403519,Innovative Biomarkers in Alzheimer's Disease and Frontotemporal Dementia (FTD): Preventative and Personalized,2
NCT07202494,"Integrating Metabolism, Connectivity, and Mesoscale Imaging at Ultra-high Field to Decipher Mechanisms of Resilience and Neurodegeneration in Neurological Diseases and Healthy Aging",2
NCT02939612,Stress Management Intervention in Early Stage Cancer: Randomized Controlled Trial,3
NCT01677572,"Multiple Dose Study of Aducanumab (BIIB037) (Recombinant, Fully Human Anti-Aβ IgG1 mAb) in Participants With Prodromal or Mild Alzheimer's Disease",0
NCT00948766,"Effects of Rivastigmine Patch on Activities of Daily Living and Cognition in Patients With Severe Dementia of the Alzheimer's Type (ACTION) (Study Protocol CENA713DUS44, NCT00948766) and a 24 Week Open-label Extension to Study CENA713DUS44",1
NCT00945672,A Multiple Dose Study of PF-04360365 In Patients With Mild to Moderate Alzheimer's Disease,1
NCT06347172,Deprescribing in Patients Living With Dementia With Caregiver and Provider Nudges,3
NCT05723172,40Hz tACS in Treating Cognitive Function and Modulating Neurophysiology of Patients With Alzheimer's Disease,2
NCT00454870,Safety and Efficacy of MEM 3454 Versus Placebo in Patients With Mild to Moderate Alzheimer's Disease,1
NCT02278354,Tau Imaging in Professional Fighters,2
NCT00955422,Screening and Evaluation of Patients With Signs and Symptoms of Alzheimer's Disease,2
NCT06335953,ALIGN: Aligning Medications With What Matters Most (Demonstration),3
NCT06388551,"A Phase 1, SAD Study to Evaluate the Safety and Tolerability of LY03017",4
NCT01284387,Amyloid Imaging And Safety Study Of ACC-001 In Subjects With Mild to Moderate Alzheimer's Disease,1
NCT02947893,"Impact of Nilotinib on Safety, Biomarkers and Clinical Outcomes in Mild to Moderate Alzheimer's Disease",0
NCT03291093,18F-Flutemetamol and Plaque Vulnerability,0
NCT06511752,Educational Support Group Program for Bilingual and Spanish-speaking Carepartners and People With Progressive Aphasia,3
NCT03417219,Mobile Tablet Education to Advance Caregiver Health,3
NCT00090116,The Safety and Efficacy of Neramexane in Patients With Moderate to Severe Alzheimer's Disease,2
NCT01079819,"Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of BMS-708163",4
NCT03060200,Reducing Depressive Symptomatology With a Smartphone App,3
NCT06451952,Virtual Darkness Theraphy for Agitation in Dementia,3
NCT03330587,Living Alone in Old Age With Cognitive Impairment,5
NCT03816228,Imaging of Brain Structural/Functional Connectivity and Amyloid and Tau Lesions in APOE4 Carriers.,2
NCT04360200,Cognitive Impairment in Ageing People,5
NCT04282798,Racial Variation in Response to Music Interventions for People With Alzheimer's Dementia,3
NCT03876314,"Physical Activity, Alzheimer's Disease and Cognition Relative to APOE Genotype",2
NCT01315704,Alzheimer's Disease and Related Disorders,2
NCT06964230,A Phase 2b/3 Clinical Study Evaluating T3D-959 in Mild-to-Moderate Alzheimer's Disease Subjects,1
NCT01745198,Effect of Cerefolin®/CerefolinNAC® on Biomarker Measurements,2
NCT05363293,"Multiple Ascending Dose Safety, Tolerability, PK Study of AL001 in Alzheimer's Disease Patients & Healthy Adult Subjects",4
NCT05787028,"Safety, Tolerability and Pharmacokinetics of AD16 Tablets in Adult Healthy Subjects After Single Administration",4
NCT06079216,Making Connections Thru Music,3
NCT04855630,Combating Alzheimer's Through Sleep and Exercise,2
NCT00499200,"Study Evaluating Safety, Tolerability, Pharmacokinetics and 5 HT1A Receptor Occupancy",4
NCT05352763,Open-Label Extension of the PTI-125-04 Study in Mild-to-Moderate Alzheimer's Disease,1
NCT02035553,A Study of the Safety and Efficacy of Pimavanserin in Patients With Alzheimer's Disease Psychosis,1
NCT01059877,Efficacy of 1072nm Infrared Stimulation on Executive Functioning in Dementia,2
NCT05364307,Identification of Patients With a High Probability of Meeting Eligibility Criteria for an Alzheimer's Disease Clinical Trial (APHELEIA),5
NCT05556395,Global Blood-Brain Barrier Disruption and Post-Stroke Cognitive Decline,2
NCT02907567,Clinical Trial of CT1812 in Mild to Moderate Alzheimer's Disease,1
NCT06831812,Phase I Clinical Study of AV-1959R: Abeta-targeting Anti-Alzheimer's Vaccine,2
NCT05516667,Cohort of Patients with Alzheimer's Disease and Their Families.,3
NCT00315575,Memory Imaging of Normal Aging,2
NCT02640092,Longitudinal Evaluation of [18F]GTP1 as a PET Radioligand for Imaging Tau in the Brain of Participants With Alzheimer's Disease Compared to Healthy Participants,0
NCT06199193,Design of Personalised SupplemenTs Based on the Gut MicRobiota Through Artificial Intelligence for Alzheimer's Patients,2
NCT03923712,"Exercise, Brain, Cognition, OMICs, Molecular Markers and Functionality in People at Risk of Mild Cognitive Impairment",5
NCT01476228,EEG Objectification in Neuropsychiatry,2
NCT05446805,Depression and Driving,2
NCT01681602,Effect of Physical Exercise in Alzheimer Patients,3
NCT06114745,A Trial of SHR-1707 Infusion in Patients With Mild Cognitive Impairment Due to Alzheimer's Disease and Mild Alzheimer's Disease,5
NCT04094129,Evaluation of the Effect of Wismemo on Alzheimer's Dementia Patients,2
NCT02178124,"A Phase I Clinical Study, Randomized, Single-blind, Placebo-controlled, Multiple Doses, Dose Escalation Study of the Safety, Tolerability and Pharmacokinetics of Donepezil Patch in Healthy Male Subjects.",4
NCT05537688,Identification of Graphic Markers of Neurocognitive Disorders (MG),2
NCT03503331,UAB Alzheimer's Disease Center Core Cohort - Imaging Substudy,0
NCT04954183,Development of an EEG Diagnostic for Alzheimer's Disease,2
NCT06411561,A Multi-Modal Combination Intervention to Promote Cognitive Function in Older Intensive Care Unit Survivors,5
NCT06035666,REducing Stress and Improving professionaLs' vItality Using innovativE iNtervenTions,3
NCT04948866,Palliative Care for Persons With Late-stage Alzheimer's and Related Dementias and Their Caregivers,3
NCT03703856,Biomarker Predictors of Memantine Sensitivity in Patients With Alzheimer's Disease,2
NCT01953705,n-3 PUFA for Vascular Cognitive Aging,2
NCT05921929,"First-In-Human (FIH), Single Ascending Dose (SAD) Study of FluoroEthylNorMemantine (FENM)",4
NCT05967390,Localized Analysis of Normalized Distance From Scalp to Cortex and Personalized Evaluation (LANDSCAPE),2
NCT03617497,Prevalence of Epilepsy and Sleep Wake Disorders in Alzheimer Disease,2
NCT06179680,White Matter Hyperintensities in Amnestic Mild Cognitive Impairment or Alzheimer's Disease,5
NCT04079803,PTI-125 for Mild-to-moderate Alzheimer's Disease Patients,1
NCT04099823,MR Evaluation of Cerebrospinal Fluid (CSF) Dynamics,2
NCT06608589,CONSTELLATIONS Living Lab: Improving the Care Transitions of Older Adults Living with Neurocognitive Disorders,3
NCT04235374,Implementation of Function Focused Care in Acute Care,3
NCT06079190,Efficacy and Safety of GSK4527226 [AL101] in Participants With Early Alzheimer's Disease,5
NCT01762618,Experimental Study of the Impact of a Group Therapy Psychological Intervention for Caregivers of Alzheimer's Disease Patients,3
NCT04693520,Biomarker Effects of ALZ-801 in APOE4 Carriers With Early Alzheimer's Disease,1
NCT07573982,Ultrasonic Debris Clearance to Promote Brain Resilience,5
