nct_id,brief_title,overall_status,phases,topic_id,topic_score,topic_label
NCT06453941,Yizhi Baduanjin for Patients With Cognitive Impairment,TERMINATED,,3,0.2748573525597205,Neuroinflammation & Immune
NCT04488419,ATH-1017 for Treatment of Mild to Moderate Alzheimer's Disease,COMPLETED,PHASE2|PHASE3,1,0.3400040377358342,Neuroinflammation & Immune
NCT07105501,Atrial Amyloid May Influence Outcomes in Patients Undergoing Surgical Aortic Valve Replacement,COMPLETED,,2,0.08331801841956422,Amyloid/Tau Pathology
NCT03448601,Alzheimer's Disease and Precision Medicine Research Among Native People,COMPLETED,,0,0.030709198878867975,"Care, Lifestyle & QoL"
NCT01815112,Early Diagnosis of Alzheimer-like Dementia: Benefit of MRI and PET Imaging,TERMINATED,,2,0.22608611774239878,Amyloid/Tau Pathology
NCT02964611,Social Cognition and Personality Changes in Alzheimer's & Parkinson's Disease & Frontotemporal Lobar Degeneration,COMPLETED,,0,0.0499712670325687,"Care, Lifestyle & QoL"
NCT06029894,Improving Sleep and AD Biomarkers,COMPLETED,,3,0.21558411573401984,Neuroinflammation & Immune
NCT00860275,Drug-Drug Interaction (DDI) w/Ketoconazole or Fluconazole,COMPLETED,PHASE1,4,0.1718820295240343,Neuroinflammation & Immune
NCT07169630,PET Imaging of Phosphodiesterase-4 (PDE4) in Volunteers With Alzheimer Disease (AD) or Mild Cognitive Impairment (MCI),RECRUITING,PHASE1,2,0.2073343302463622,Amyloid/Tau Pathology
NCT05669495,ANNE Vital Sign System Remote Sleep Assessment,UNKNOWN,,0,0.07136470500637383,"Care, Lifestyle & QoL"
NCT01529619,"Efficacy, Safety and Tolerability of Rivastigmine Patch in Patients With Mild to Moderate Alzheimer's Disease Switched From Cholinesterase Inhibitors",COMPLETED,PHASE4,1,0.1748436266442048,Neuroinflammation & Immune
NCT04296565,Water-based Activity to Enhance Recall in Veterans,ACTIVE_NOT_RECRUITING,PHASE4,3,0.17178894479005932,Neuroinflammation & Immune
NCT03001557,Study of Lemborexant for Irregular Sleep-Wake Rhythm Disorder and Mild to Moderate Alzheimer's Disease Dementia,COMPLETED,PHASE2,1,0.14042868172289888,Neuroinflammation & Immune
NCT00950430,Imaging of Brain Amyloid Plaques in the Aging Population,ENROLLING_BY_INVITATION,PHASE4,2,0.2583810904285415,Amyloid/Tau Pathology
NCT03387267,Videofluoroscopic Swallowing Study (VFSS),TERMINATED,,1,0.010002623466696114,Neuroinflammation & Immune
NCT02503501,Intranasal Glulisine in Amnestic Mild Cognitive Impairment and Probable Mild Alzheimer's Disease,TERMINATED,PHASE2,3,0.22715149290199013,Neuroinflammation & Immune
NCT03287765,Evaluating the Relationship Between Tau PET Imaging and CSF Biomarkers of AD (Alzheimer Disease) in Humans,COMPLETED,,2,0.26704652092712966,Amyloid/Tau Pathology
NCT02288000,Prediction of Cognitive Properties of Memantine for Neurodegenerative Diseases,TERMINATED,PHASE1,3,0.04296950550790039,Neuroinflammation & Immune
NCT06459128,Delivery Format of Cognitive Behavioral Therapy Materials on Engagement and Outcomes: AI-Enabled App vs PDF Workbook,COMPLETED,,0,0.08784411385707988,"Care, Lifestyle & QoL"
NCT03075007,Brain Vascular Disease in Aging and Dementia,COMPLETED,,2,0.23338096036841727,Amyloid/Tau Pathology
NCT01767311,"A Study to Evaluate Safety, Tolerability, and Efficacy of Lecanemab in Subjects With Early Alzheimer's Disease",COMPLETED,PHASE2,5,0.15630146834549924,Other / Mixed
NCT07402356,VR Pupillometry in Cognitive Impairment,RECRUITING,,3,0.19319380770491595,Neuroinflammation & Immune
NCT02097056,Safety and Efficacy of Donepezil HCl 23 mg in Patients With Moderate to Severe Alzheimer's Disease,COMPLETED,PHASE4,5,0.16173973914909573,Other / Mixed
NCT01057030,Multiple Dose Japanese Bridging Study,COMPLETED,PHASE1,4,0.2983739133814379,Neuroinflammation & Immune
NCT05564169,Masitinib in Patients With Mild Alzheimer's Disease,NOT_YET_RECRUITING,PHASE3,1,0.20302995714495822,Neuroinflammation & Immune
NCT00151502,To Evaluate the Safety and Effectiveness of Atorvastatin Plus a Cholinesterase Inhibitor in AD Patients.,COMPLETED,PHASE3,5,0.06040415358241016,Other / Mixed
NCT04785053,Memory Functions in Mild Alzheimer's Disease,COMPLETED,,3,0.06388777868629958,Neuroinflammation & Immune
NCT05732519,Turkish Speech Analysis Development Study,ACTIVE_NOT_RECRUITING,,0,0.04834928666956931,"Care, Lifestyle & QoL"
NCT01403519,Innovative Biomarkers in Alzheimer's Disease and Frontotemporal Dementia (FTD): Preventative and Personalized,UNKNOWN,,2,0.12722434013030517,Amyloid/Tau Pathology
NCT07202494,"Integrating Metabolism, Connectivity, and Mesoscale Imaging at Ultra-high Field to Decipher Mechanisms of Resilience and Neurodegeneration in Neurological Diseases and Healthy Aging",RECRUITING,,2,0.1261246643535568,Amyloid/Tau Pathology
NCT02939612,Stress Management Intervention in Early Stage Cancer: Randomized Controlled Trial,ACTIVE_NOT_RECRUITING,,5,0.034961506211344744,Other / Mixed
NCT01677572,"Multiple Dose Study of Aducanumab (BIIB037) (Recombinant, Fully Human Anti-Aβ IgG1 mAb) in Participants With Prodromal or Mild Alzheimer's Disease",TERMINATED,PHASE1,2,0.17205540348108847,Amyloid/Tau Pathology
NCT00948766,"Effects of Rivastigmine Patch on Activities of Daily Living and Cognition in Patients With Severe Dementia of the Alzheimer's Type (ACTION) (Study Protocol CENA713DUS44, NCT00948766) and a 24 Week Open-label Extension to Study CENA713DUS44",COMPLETED,PHASE4,5,0.13259091919673668,Other / Mixed
NCT00945672,A Multiple Dose Study of PF-04360365 In Patients With Mild to Moderate Alzheimer's Disease,COMPLETED,PHASE2,1,0.26283256062849375,Neuroinflammation & Immune
NCT06347172,Deprescribing in Patients Living With Dementia With Caregiver and Provider Nudges,COMPLETED,,0,0.08111676320684204,"Care, Lifestyle & QoL"
NCT05723172,40Hz tACS in Treating Cognitive Function and Modulating Neurophysiology of Patients With Alzheimer's Disease,UNKNOWN,,3,0.07985337786346369,Neuroinflammation & Immune
NCT00454870,Safety and Efficacy of MEM 3454 Versus Placebo in Patients With Mild to Moderate Alzheimer's Disease,COMPLETED,PHASE2,1,0.3580626244376485,Neuroinflammation & Immune
NCT02278354,Tau Imaging in Professional Fighters,COMPLETED,PHASE1,2,0.1591025459874802,Amyloid/Tau Pathology
NCT00955422,Screening and Evaluation of Patients With Signs and Symptoms of Alzheimer's Disease,COMPLETED,,2,0.15089356163285728,Amyloid/Tau Pathology
NCT06335953,ALIGN: Aligning Medications With What Matters Most (Demonstration),COMPLETED,,0,0.08940887485480367,"Care, Lifestyle & QoL"
NCT06388551,"A Phase 1, SAD Study to Evaluate the Safety and Tolerability of LY03017",UNKNOWN,PHASE1,4,0.30696990899504695,Neuroinflammation & Immune
NCT01284387,Amyloid Imaging And Safety Study Of ACC-001 In Subjects With Mild to Moderate Alzheimer's Disease,COMPLETED,PHASE2,1,0.20909399911768453,Neuroinflammation & Immune
NCT02947893,"Impact of Nilotinib on Safety, Biomarkers and Clinical Outcomes in Mild to Moderate Alzheimer's Disease",COMPLETED,PHASE2,2,0.19806312399490164,Amyloid/Tau Pathology
NCT03291093,18F-Flutemetamol and Plaque Vulnerability,UNKNOWN,PHASE2|PHASE3,2,0.20008602209203405,Amyloid/Tau Pathology
NCT06511752,Educational Support Group Program for Bilingual and Spanish-speaking Carepartners and People With Progressive Aphasia,RECRUITING,EARLY_PHASE1,0,0.07179869090115164,"Care, Lifestyle & QoL"
NCT03417219,Mobile Tablet Education to Advance Caregiver Health,COMPLETED,,0,0.10182748024073074,"Care, Lifestyle & QoL"
NCT00090116,The Safety and Efficacy of Neramexane in Patients With Moderate to Severe Alzheimer's Disease,COMPLETED,PHASE3,5,0.09772705949539116,Other / Mixed
NCT01079819,"Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of BMS-708163",COMPLETED,PHASE1,4,0.3640821251504369,Neuroinflammation & Immune
NCT03060200,Reducing Depressive Symptomatology With a Smartphone App,COMPLETED,,0,0.05557039570895217,"Care, Lifestyle & QoL"
NCT06451952,Virtual Darkness Theraphy for Agitation in Dementia,RECRUITING,,0,0.1163512280388952,"Care, Lifestyle & QoL"
