approved_symbol,gap_rank,evidence_strength_norm,literature_signal_norm,trial_signal_norm,literature_trial_gap_norm,gap_score,conservative_gap_score,gap_category,gap_interpretation_tier,text_coverage_status,symbol_ambiguity_flag
TREM2,1,0.44808603076832576,0.948476400869397,0.0,0.948476400869397,0.74832,0.698281,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
APOE,2,0.8242573873368092,1.0,0.7115978164692374,0.28840218353076263,0.716224,0.698649,High-priority gap signal,Established / trial-covered target,checked_with_mentions,low
APP,3,0.9999999999999999,0.7643305695014788,1.0,0.0,0.629299,0.652866,High-priority gap signal,Established / trial-covered target,checked_with_mentions,moderate
PSEN1,4,0.9938111525968708,0.32521662454326833,0.44797359920070073,0.17952816272671746,0.548948,0.615807,High-priority gap signal,Established / trial-covered target,checked_with_mentions,low
ACHE,5,0.5528981378801404,0.48782493681490247,0.2529147100238403,0.3644468343779632,0.476841,0.483348,High-priority gap signal,Established / trial-covered target,checked_with_mentions,low
CD33,6,0.46597151872314313,0.4564992458232521,0.0,0.4564992458232521,0.460288,0.461235,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
PSEN2,7,0.9013931482717122,0.16260831227163416,0.15957141566993815,0.13666067368275012,0.450338,0.524216,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
CDK5,8,0.6481753239809228,0.257728077256096,0.0,0.257728077256096,0.413907,0.452952,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
ADAM10,9,0.651198974772594,0.16260831227163416,0.0,0.16260831227163416,0.358045,0.406904,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
CLU,10,0.4175145943437165,0.257728077256096,0.0,0.257728077256096,0.321643,0.337621,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,moderate
MTOR,11,0.30251909588904047,0.32521662454326833,0.0,0.32521662454326833,0.316138,0.313868,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
SCD,12,0.27822901811623946,0.4564992458232521,0.5300847688549171,0.21451594861858952,0.312596,0.294769,High-priority gap signal,Established / trial-covered target,checked_with_mentions,moderate
ACE,13,0.5631263006626602,0.16260831227163416,0.37051335318497886,0.10235976123612084,0.304741,0.344793,High-priority gap signal,Established / trial-covered target,checked_with_mentions,moderate
MAPT,14,0.08641262938161465,0.4203363895277301,0.0,0.4203363895277301,0.286767,0.253375,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
GRIN1,15,0.6852842071808601,0.0,0.0,0.0,0.274114,0.342642,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
SORL1,16,0.664278334232857,0.0,0.0,0.0,0.265711,0.332139,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
PLCG2,17,0.40949821270299325,0.16260831227163416,0.0,0.16260831227163416,0.261364,0.286053,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
MS4A6A,18,0.38525211817911453,0.16260831227163416,0.0,0.16260831227163416,0.251666,0.27393,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
GRIN3B,19,0.6283726372360295,0.0,0.0,0.0,0.251349,0.314186,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low
PICALM,20,0.34954294022820176,0.16260831227163416,0.0,0.16260831227163416,0.237382,0.256076,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low
