term,score,source
tau,0.03857843353064515,literature
amyloid,0.03504283715188671,literature
brain,0.03473367629784041,literature
dementia,0.03172560339282468,literature
cognitive,0.029792275128370273,literature
aβ,0.026498445626739486,literature
biomarkers,0.025974514316684034,literature
risk,0.02517486303638242,literature
pathology,0.021651009723938526,literature
role,0.02159532575858676,literature
early,0.021344436398307732,literature
mechanisms,0.021172322253724184,literature
diagnosis,0.0209716202189568,literature
progression,0.020928076745858504,literature
therapeutic,0.02075218228006571,literature
related,0.020652415129325558,literature
development,0.020526519380147906,literature
neurodegenerative,0.020385338869638052,literature
pathogenesis,0.01959347398650036,literature
microglia,0.019220277796030246,literature
changes,0.017986975611753966,literature
model,0.017917219976823107,literature
human,0.017777564731307035,literature
evidence,0.017638563378163497,literature
protein,0.01757297634759534,literature
dysfunction,0.017520397763519234,literature
potential,0.017326210347528487,literature
cell,0.01698704209634439,literature
blood,0.01692572100255372,literature
factors,0.01689165468926694,literature
