gap_rank,approved_symbol,approved_name,target_id,biotype,association_score,literature_mentions,trial_mentions,literature_documents_mentioned,trial_documents_mentioned,literature_to_trial_gap_signal,evidence_strength_norm,literature_signal_norm,trial_signal_norm,underexploration_norm,literature_trial_gap_norm,gap_score,conservative_gap_score,gap_category,gap_interpretation_tier,text_coverage_status,symbol_ambiguity_flag,mention_match_quality,interpretation_note
1,TREM2,triggering receptor expressed on myeloid cells 2,ENSG00000095970,protein_coding,0.5721845302600777,56,0,10,0,56,0.44808603076832576,0.948476400869397,0.0,1.0,0.948476400869397,0.74832,0.698281,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (56), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.45), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
6,CD33,CD33 molecule,ENSG00000105383,protein_coding,0.5818249181893902,6,0,1,0,6,0.46597151872314313,0.4564992458232521,0.0,1.0,0.4564992458232521,0.460288,0.461235,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (6), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.47), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
7,PSEN2,presenilin 2,ENSG00000143801,protein_coding,0.8165198525554955,1,1,1,1,0,0.9013931482717122,0.16260831227163416,0.15957141566993815,0.8404285843300618,0.13666067368275012,0.450338,0.524216,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (1 mentions). Combined with Open Targets evidence (norm=0.90), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
8,CDK5,cyclin dependent kinase 5,ENSG00000164885,protein_coding,0.6800338890220147,2,0,2,0,2,0.6481753239809228,0.257728077256096,0.0,1.0,0.257728077256096,0.413907,0.452952,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (2), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.65), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
9,ADAM10,ADAM metallopeptidase domain 10,ENSG00000137845,protein_coding,0.6816636553816533,1,0,1,0,1,0.651198974772594,0.16260831227163416,0.0,1.0,0.16260831227163416,0.358045,0.406904,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.65), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
10,CLU,clusterin,ENSG00000120885,protein_coding,0.5557063381395116,2,0,2,0,2,0.4175145943437165,0.257728077256096,0.0,1.0,0.257728077256096,0.321643,0.337621,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,moderate,moderate_ambiguity_review,"Literature mentions detected (2), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.42), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
11,MTOR,mechanistic target of rapamycin kinase,ENSG00000198793,protein_coding,0.4937230577264579,3,0,3,0,3,0.30251909588904047,0.32521662454326833,0.0,1.0,0.32521662454326833,0.316138,0.313868,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (3), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.30), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
14,MAPT,microtubule associated protein tau,ENSG00000186868,protein_coding,0.3772403441193385,5,0,3,0,5,0.08641262938161465,0.4203363895277301,0.0,1.0,0.4203363895277301,0.286767,0.253375,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (5), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.09), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
17,PLCG2,phospholipase C gamma 2,ENSG00000197943,protein_coding,0.55138545916762,1,0,1,0,1,0.40949821270299325,0.16260831227163416,0.0,1.0,0.16260831227163416,0.261364,0.286053,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.41), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
18,MS4A6A,membrane spanning 4-domains A6A,ENSG00000110077,protein_coding,0.5383166652061998,1,0,1,0,1,0.38525211817911453,0.16260831227163416,0.0,1.0,0.16260831227163416,0.251666,0.27393,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.39), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
20,PICALM,phosphatidylinositol binding clathrin assembly protein,ENSG00000073921,protein_coding,0.5190691988271273,1,0,1,0,1,0.34954294022820176,0.16260831227163416,0.0,1.0,0.16260831227163416,0.237382,0.256076,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.35), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
21,ATP6V1A,ATPase H+ transporting V1 subunit A,ENSG00000114573,protein_coding,0.5182959504544525,1,0,1,0,1,0.348108358491765,0.16260831227163416,0.0,1.0,0.16260831227163416,0.236808,0.255358,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.35), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
22,CSF1R,colony stimulating factor 1 receptor,ENSG00000182578,protein_coding,0.4049383278664958,3,1,1,1,2,0.13779976839665586,0.32521662454326833,0.15957141566993815,0.8404285843300618,0.27332134736550023,0.234681,0.21594,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (3), with low or zero clinical trial text presence (1 mentions). Combined with Open Targets evidence (norm=0.14), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
23,KAT8,lysine acetyltransferase 8,ENSG00000103510,protein_coding,0.5057098773322191,1,0,1,0,1,0.32475783972874994,0.16260831227163416,0.0,1.0,0.16260831227163416,0.227468,0.243683,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.32), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
24,BACE1,beta-secretase 1,ENSG00000186318,protein_coding,0.4227334364529774,2,0,2,0,2,0.17081443571211097,0.257728077256096,0.0,1.0,0.257728077256096,0.222963,0.214271,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (2), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.17), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
32,SHARPIN,SHANK associated RH domain interactor,ENSG00000179526,protein_coding,0.4765564735652801,1,0,1,0,1,0.2706705088309884,0.16260831227163416,0.0,1.0,0.16260831227163416,0.205833,0.216639,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.27), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
