approved_symbol,approved_name,association_score,literature_mentions,trial_mentions,literature_to_trial_gap_signal
APOE,apolipoprotein E,0.7749432033461633,69,18,51
TREM2,triggering receptor expressed on myeloid cells 2,0.5721845302600777,56,0,56
APP,amyloid beta precursor protein,0.8696695516607333,25,76,-51
ACHE,acetylcholinesterase (Yt blood group),0.6286789001536538,7,2,5
CD33,CD33 molecule,0.5818249181893902,6,0,6
PSEN1,presenilin 1,0.8663337248746705,3,6,-3
CDK5,cyclin dependent kinase 5,0.6800338890220147,2,0,2
CLU,clusterin,0.5557063381395116,2,0,2
ACE,angiotensin I converting enzyme,0.6341919427542662,1,4,-3
ADAM10,ADAM metallopeptidase domain 10,0.6816636553816533,1,0,1
PLCG2,phospholipase C gamma 2,0.55138545916762,1,0,1
PSEN2,presenilin 2,0.8165198525554955,1,1,0
MS4A6A,membrane spanning 4-domains A6A,0.5383166652061998,1,0,1
BCHE,butyrylcholinesterase,0.6272161725827728,0,0,0
GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,0.66936011916202,0,0,0
GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,0.6274063661175356,0,0,0
SORL1,sortilin related receptor 1,0.6887135105146187,0,0,0
GRIN1,glutamate ionotropic receptor NMDA type subunit 1,0.7000358051327009,0,0,0
GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,0.6083962283415625,0,0,0
APH1B,aph-1B gamma-secretase subunit,0.6090250464013078,0,0,0
GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,0.6101241550231941,0,0,0
GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,0.6136111345949934,0,0,0
GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,0.6151782725819345,0,0,0
ADRA2B,adrenoceptor alpha 2B,0.5914859782379777,0,0,0
CR1,complement C3b/C4b receptor 1 (Knops blood group),0.5926783768207446,0,0,0
CDK5R1,cyclin dependent kinase 5 regulatory subunit 1,0.6074662113403846,0,0,0
GRN,granulin precursor,0.5810506372714668,0,0,0
HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,0.584711381261442,0,0,0
FOXO3,forkhead box O3,0.5736355541079968,0,0,0
EPHA1,EPH receptor A1,0.580575990464643,0,0,0
ABCA7,ATP binding cassette subfamily A member 7,0.5653009027165964,0,0,0
NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,0.5608605760909913,0,0,0
CDC25B,cell division cycle 25B,0.5985275901516723,0,0,0
HFE,homeostatic iron regulator,0.6048602773233976,0,0,0
SLC6A3,solute carrier family 6 member 3,0.5539395717319444,0,0,0
BIN1,bridging integrator 1,0.5547057890274468,0,0,0
CDKN2B,cyclin dependent kinase inhibitor 2B,0.5531421294534669,0,0,0
GSK3B,glycogen synthase kinase 3 beta,0.5534786397885884,0,0,0
NCK2,NCK adaptor protein 2,0.5487826684396903,0,0,0
PSAP,prosaposin,0.5479043693118749,0,0,0
PLK1,polo like kinase 1,0.5419833466167745,0,0,0
CDKN1A,cyclin dependent kinase inhibitor 1A,0.5503043842101816,0,0,0
CDK4,cyclin dependent kinase 4,0.5419430517035931,0,0,0
SMPD1,sphingomyelin phosphodiesterase 1,0.5416821779169125,0,0,0
SCARB1,scavenger receptor class B member 1,0.5345305649908763,0,0,0
AXL,AXL receptor tyrosine kinase,0.5344078071045751,0,0,0
NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,0.5339588476632112,0,0,0
HTR1A,5-hydroxytryptamine receptor 1A,0.5290229308192081,0,0,0
AURKB,aurora kinase B,0.5287759633031683,0,0,0
NDUFA8,NADH:ubiquinone oxidoreductase subunit A8,0.5284709157316196,0,0,0
