target_id,approved_symbol,approved_name,biotype,association_score,literature_mentions,trial_mentions,literature_documents_mentioned,trial_documents_mentioned,literature_to_trial_gap_signal,symbol_ambiguity_flag,mention_match_quality,text_coverage_status
ENSG00000142192,APP,amyloid beta precursor protein,protein_coding,0.8696695516607333,25,76,16,28,-51,moderate,moderate_ambiguity_review,checked_with_mentions
ENSG00000080815,PSEN1,presenilin 1,protein_coding,0.8663337248746705,3,6,3,3,-3,low,reliable,checked_with_mentions
ENSG00000143801,PSEN2,presenilin 2,protein_coding,0.8165198525554955,1,1,1,1,0,low,reliable,checked_with_mentions
ENSG00000130203,APOE,apolipoprotein E,protein_coding,0.7749432033461633,70,21,23,12,49,low,reliable,checked_with_mentions
ENSG00000176884,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,protein_coding,0.7000358051327009,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000137642,SORL1,sortilin related receptor 1,protein_coding,0.6887135105146187,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000137845,ADAM10,ADAM metallopeptidase domain 10,protein_coding,0.6816636553816533,1,0,1,0,1,low,reliable,checked_with_mentions
ENSG00000164885,CDK5,cyclin dependent kinase 5,protein_coding,0.6800338890220147,2,0,2,0,2,low,reliable,checked_with_mentions
ENSG00000116032,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,protein_coding,0.66936011916202,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000159640,ACE,angiotensin I converting enzyme,protein_coding,0.6341919427542662,1,4,1,1,-3,moderate,moderate_ambiguity_review,checked_with_mentions
ENSG00000087085,ACHE,acetylcholinesterase (Yt blood group),protein_coding,0.6286789001536538,7,2,3,1,5,low,reliable,checked_with_mentions
ENSG00000273079,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,protein_coding,0.6274063661175356,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000114200,BCHE,butyrylcholinesterase,protein_coding,0.6272161725827728,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000183454,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,protein_coding,0.6151782725819345,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000105464,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,protein_coding,0.6136111345949934,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000198785,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,protein_coding,0.6101241550231941,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000138613,APH1B,aph-1B gamma-secretase subunit,protein_coding,0.6090250464013078,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000161509,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,protein_coding,0.6083962283415625,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000176749,CDK5R1,cyclin dependent kinase 5 regulatory subunit 1,protein_coding,0.6074662113403846,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000010704,HFE,homeostatic iron regulator,protein_coding,0.6048602773233976,0,0,0,0,0,moderate,not_detected,checked_zero_mentions
ENSG00000101224,CDC25B,cell division cycle 25B,protein_coding,0.5985275901516723,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000203710,CR1,complement C3b/C4b receptor 1 (Knops blood group),protein_coding,0.5926783768207446,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000274286,ADRA2B,adrenoceptor alpha 2B,protein_coding,0.5914859782379777,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000113161,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,protein_coding,0.584711381261442,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000105383,CD33,CD33 molecule,protein_coding,0.5818249181893902,6,0,1,0,6,low,reliable,checked_with_mentions
ENSG00000030582,GRN,granulin precursor,protein_coding,0.5810506372714668,0,0,0,0,0,moderate,not_detected,checked_zero_mentions
ENSG00000146904,EPHA1,EPH receptor A1,protein_coding,0.580575990464643,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000118689,FOXO3,forkhead box O3,protein_coding,0.5736355541079968,0,0,0,0,0,low,not_detected,checked_zero_mentions
