gap_rank,approved_symbol,approved_name,target_id,biotype,association_score,literature_mentions,trial_mentions,literature_documents_mentioned,trial_documents_mentioned,literature_to_trial_gap_signal,evidence_strength_norm,literature_signal_norm,trial_signal_norm,underexploration_norm,literature_trial_gap_norm,gap_score,conservative_gap_score,gap_category,gap_interpretation_tier,text_coverage_status,symbol_ambiguity_flag,mention_match_quality,interpretation_note
1,TREM2,triggering receptor expressed on myeloid cells 2,ENSG00000095970,protein_coding,0.5721845302600777,56,0,10,0,56,0.44808603076832576,0.948476400869397,0.0,1.0,0.948476400869397,0.74832,0.698281,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (56), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.45), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
2,APOE,apolipoprotein E,ENSG00000130203,protein_coding,0.7749432033461633,70,21,23,12,49,0.8242573873368092,1.0,0.7115978164692374,0.28840218353076263,0.28840218353076263,0.716224,0.698649,High-priority gap signal,Established / trial-covered target,checked_with_mentions,low,reliable,Substantial clinical trial text presence (21 trial mentions). This target appears investigated in clinical settings within this corpus. Not classified as a gap candidate based on this signal.
3,APP,amyloid beta precursor protein,ENSG00000142192,protein_coding,0.8696695516607333,25,76,16,28,-51,0.9999999999999999,0.7643305695014788,1.0,0.0,0.0,0.629299,0.652866,High-priority gap signal,Established / trial-covered target,checked_with_mentions,moderate,moderate_ambiguity_review,"High trial mention count (76), but symbol ambiguity is 'moderate'. Some trial mentions may reflect non-gene uses of 'APP'. Manual validation recommended. Not classified as a gap candidate."
4,PSEN1,presenilin 1,ENSG00000080815,protein_coding,0.8663337248746705,3,6,3,3,-3,0.9938111525968708,0.32521662454326833,0.44797359920070073,0.5520264007992992,0.17952816272671746,0.548948,0.615807,High-priority gap signal,Established / trial-covered target,checked_with_mentions,low,reliable,Substantial clinical trial text presence (6 trial mentions). This target appears investigated in clinical settings within this corpus. Not classified as a gap candidate based on this signal.
5,ACHE,acetylcholinesterase (Yt blood group),ENSG00000087085,protein_coding,0.6286789001536538,7,2,3,1,5,0.5528981378801404,0.48782493681490247,0.2529147100238403,0.7470852899761597,0.3644468343779632,0.476841,0.483348,High-priority gap signal,Established / trial-covered target,checked_with_mentions,low,reliable,Substantial clinical trial text presence (2 trial mentions). This target appears investigated in clinical settings within this corpus. Not classified as a gap candidate based on this signal.
6,CD33,CD33 molecule,ENSG00000105383,protein_coding,0.5818249181893902,6,0,1,0,6,0.46597151872314313,0.4564992458232521,0.0,1.0,0.4564992458232521,0.460288,0.461235,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (6), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.47), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
7,PSEN2,presenilin 2,ENSG00000143801,protein_coding,0.8165198525554955,1,1,1,1,0,0.9013931482717122,0.16260831227163416,0.15957141566993815,0.8404285843300618,0.13666067368275012,0.450338,0.524216,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (1 mentions). Combined with Open Targets evidence (norm=0.90), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
8,CDK5,cyclin dependent kinase 5,ENSG00000164885,protein_coding,0.6800338890220147,2,0,2,0,2,0.6481753239809228,0.257728077256096,0.0,1.0,0.257728077256096,0.413907,0.452952,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (2), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.65), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
9,ADAM10,ADAM metallopeptidase domain 10,ENSG00000137845,protein_coding,0.6816636553816533,1,0,1,0,1,0.651198974772594,0.16260831227163416,0.0,1.0,0.16260831227163416,0.358045,0.406904,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.65), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
10,CLU,clusterin,ENSG00000120885,protein_coding,0.5557063381395116,2,0,2,0,2,0.4175145943437165,0.257728077256096,0.0,1.0,0.257728077256096,0.321643,0.337621,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,moderate,moderate_ambiguity_review,"Literature mentions detected (2), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.42), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
