node_id,node_type,label,description,approved_name,target_id,biotype,association_score,gap_score,conservative_gap_score,gap_rank,gap_category,gap_interpretation_tier,text_coverage_status,literature_mentions,trial_mentions,symbol_ambiguity_flag,mention_match_quality,paper_id,year,citation_count,topic_id,topic_label,nct_id,overall_status,phases,top_terms,n_papers,source,n_trials
alzheimers_disease,Disease,Alzheimer's Disease,Alzheimer's disease (DOID:10652),,,,,,,,,,,,,,,,,,,,,,,,,,
target_TREM2,Target,TREM2,,triggering receptor expressed on myeloid cells 2,ENSG00000095970,protein_coding,0.5721845302600777,0.74832,0.698281,1.0,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,56.0,0.0,low,reliable,,,,,,,,,,,,
target_APOE,Target,APOE,,apolipoprotein E,ENSG00000130203,protein_coding,0.7749432033461633,0.716224,0.698649,2.0,High-priority gap signal,Established / trial-covered target,checked_with_mentions,70.0,21.0,low,reliable,,,,,,,,,,,,
target_APP,Target,APP,,amyloid beta precursor protein,ENSG00000142192,protein_coding,0.8696695516607333,0.629299,0.652866,3.0,High-priority gap signal,Established / trial-covered target,checked_with_mentions,25.0,76.0,moderate,moderate_ambiguity_review,,,,,,,,,,,,
target_PSEN1,Target,PSEN1,,presenilin 1,ENSG00000080815,protein_coding,0.8663337248746705,0.548948,0.615807,4.0,High-priority gap signal,Established / trial-covered target,checked_with_mentions,3.0,6.0,low,reliable,,,,,,,,,,,,
target_ACHE,Target,ACHE,,acetylcholinesterase (Yt blood group),ENSG00000087085,protein_coding,0.6286789001536538,0.476841,0.483348,5.0,High-priority gap signal,Established / trial-covered target,checked_with_mentions,7.0,2.0,low,reliable,,,,,,,,,,,,
target_CD33,Target,CD33,,CD33 molecule,ENSG00000105383,protein_coding,0.5818249181893902,0.460288,0.461235,6.0,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,6.0,0.0,low,reliable,,,,,,,,,,,,
target_PSEN2,Target,PSEN2,,presenilin 2,ENSG00000143801,protein_coding,0.8165198525554955,0.450338,0.524216,7.0,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,1.0,1.0,low,reliable,,,,,,,,,,,,
target_CDK5,Target,CDK5,,cyclin dependent kinase 5,ENSG00000164885,protein_coding,0.6800338890220147,0.413907,0.452952,8.0,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,2.0,0.0,low,reliable,,,,,,,,,,,,
target_ADAM10,Target,ADAM10,,ADAM metallopeptidase domain 10,ENSG00000137845,protein_coding,0.6816636553816533,0.358045,0.406904,9.0,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,1.0,0.0,low,reliable,,,,,,,,,,,,
