approved_symbol,approved_name,target_id,biotype,association_score,evidence_strength_label,gap_score,conservative_gap_score,gap_rank,gap_category,gap_interpretation_tier,symbol_ambiguity_flag,literature_mentions,literature_documents_mentioned,literature_signal_label,trial_mentions,trial_documents_mentioned,trial_signal_label,dominant_literature_theme,dominant_trial_theme,n_matched_papers,n_matched_trials,why_interesting,key_limitations,suggested_next_steps,evidence_card_path
TREM2,triggering receptor expressed on myeloid cells 2,ENSG00000095970,protein_coding,0.5721845302600777,Moderate evidence signal,0.74832,0.698281,1,High-priority gap signal,Strong text-supported gap signal,low,56,10,Strong literature signal,0,0,No detected trial text signal,Amyloid/Tau Pathology; Neuroinflammation & Immune,—,4,0,TREM2 combines a measurable literature signal with comparatively low clinical trial text signal in this corpus. This may suggest a research-to-translation gap — literature research appears to be ahead of registered trial activity based on lexical text matching. Manual validation is required to determine whether this reflects a genuine translational opportunity.,"Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\TREM2_evidence_card.md
APOE,apolipoprotein E,ENSG00000130203,protein_coding,0.7749432033461633,High evidence signal,0.716224,0.698649,2,High-priority gap signal,Established / trial-covered target,low,70,23,Strong literature signal,21,12,High trial text signal,Neuroinflammation & Immune; Amyloid/Tau Pathology,Neuroinflammation & Immune,7,2,APOE appears well represented in both literature and trial text in this corpus. It should be treated as an established or trial-covered comparator rather than a gap candidate. It may serve as a reference point for comparing less-studied targets.,"Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\APOE_evidence_card.md
APP,amyloid beta precursor protein,ENSG00000142192,protein_coding,0.8696695516607333,High evidence signal,0.629299,0.652866,3,High-priority gap signal,Established / trial-covered target,moderate,25,16,Strong literature signal,76,28,High trial text signal,Amyloid/Tau Pathology; Neuroinflammation & Immune,—,2,0,APP appears well represented in both literature and trial text in this corpus. It should be treated as an established or trial-covered comparator rather than a gap candidate. It may serve as a reference point for comparing less-studied targets. Note: the symbol 'APP' may be ambiguous in biomedical or general text; mention counts require manual validation to exclude false positives.,"Symbol 'APP' has a moderate ambiguity flag — mention counts are especially uncertain. | Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\APP_evidence_card.md
PSEN1,presenilin 1,ENSG00000080815,protein_coding,0.8663337248746705,High evidence signal,0.548948,0.615807,4,High-priority gap signal,Established / trial-covered target,low,3,3,Moderate literature signal,6,3,Moderate trial text signal,—,Amyloid/Tau Pathology,0,1,PSEN1 appears well represented in both literature and trial text in this corpus. It should be treated as an established or trial-covered comparator rather than a gap candidate. It may serve as a reference point for comparing less-studied targets.,"Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\PSEN1_evidence_card.md
ACHE,acetylcholinesterase (Yt blood group),ENSG00000087085,protein_coding,0.6286789001536538,Moderate evidence signal,0.476841,0.483348,5,High-priority gap signal,Established / trial-covered target,low,7,3,Moderate literature signal,2,1,Moderate trial text signal,—,Neuroinflammation & Immune,0,1,ACHE appears well represented in both literature and trial text in this corpus. It should be treated as an established or trial-covered comparator rather than a gap candidate. It may serve as a reference point for comparing less-studied targets.,"Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\ACHE_evidence_card.md
CD33,CD33 molecule,ENSG00000105383,protein_coding,0.5818249181893902,Moderate evidence signal,0.460288,0.461235,6,High-priority gap signal,Strong text-supported gap signal,low,6,1,Moderate literature signal,0,0,No detected trial text signal,—,—,0,0,CD33 combines a measurable literature signal with comparatively low clinical trial text signal in this corpus. This may suggest a research-to-translation gap — literature research appears to be ahead of registered trial activity based on lexical text matching. Manual validation is required to determine whether this reflects a genuine translational opportunity.,"Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\CD33_evidence_card.md
PSEN2,presenilin 2,ENSG00000143801,protein_coding,0.8165198525554955,High evidence signal,0.450338,0.524216,7,High-priority gap signal,Strong text-supported gap signal,low,1,1,Weak literature signal,1,1,Low trial text signal,—,—,0,0,PSEN2 combines a measurable literature signal with comparatively low clinical trial text signal in this corpus. This may suggest a research-to-translation gap — literature research appears to be ahead of registered trial activity based on lexical text matching. Manual validation is required to determine whether this reflects a genuine translational opportunity.,"Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\PSEN2_evidence_card.md
CDK5,cyclin dependent kinase 5,ENSG00000164885,protein_coding,0.6800338890220147,Moderate evidence signal,0.413907,0.452952,8,High-priority gap signal,Strong text-supported gap signal,low,2,2,Weak literature signal,0,0,No detected trial text signal,—,—,0,0,CDK5 combines a measurable literature signal with comparatively low clinical trial text signal in this corpus. This may suggest a research-to-translation gap — literature research appears to be ahead of registered trial activity based on lexical text matching. Manual validation is required to determine whether this reflects a genuine translational opportunity.,"Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\CDK5_evidence_card.md
ADAM10,ADAM metallopeptidase domain 10,ENSG00000137845,protein_coding,0.6816636553816533,Moderate evidence signal,0.358045,0.406904,9,High-priority gap signal,Strong text-supported gap signal,low,1,1,Weak literature signal,0,0,No detected trial text signal,Neuroinflammation & Immune,—,1,0,ADAM10 combines a measurable literature signal with comparatively low clinical trial text signal in this corpus. This may suggest a research-to-translation gap — literature research appears to be ahead of registered trial activity based on lexical text matching. Manual validation is required to determine whether this reflects a genuine translational opportunity.,"Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\ADAM10_evidence_card.md
CLU,clusterin,ENSG00000120885,protein_coding,0.5557063381395116,Moderate evidence signal,0.321643,0.337621,10,High-priority gap signal,Strong text-supported gap signal,moderate,2,2,Weak literature signal,0,0,No detected trial text signal,—,—,0,0,CLU combines a measurable literature signal with comparatively low clinical trial text signal in this corpus. This may suggest a research-to-translation gap — literature research appears to be ahead of registered trial activity based on lexical text matching. Manual validation is required to determine whether this reflects a genuine translational opportunity. Note: the symbol 'CLU' may be ambiguous in biomedical or general text; mention counts require manual validation to exclude false positives.,"Symbol 'CLU' has a moderate ambiguity flag — mention counts are especially uncertain. | Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\CLU_evidence_card.md
